January 2025 Financial Activity (MySQL Source)
Database: nonprofit_finance,Host: 127.0.0.1:3306,Org ID: 1

Date,Description,Source,Ledger Type,Amount,Net Change,Running Net,Notes
2025-01-01,SamsClub_Meijer_GordonFood - Food and supplies bought by Greg and Karen Cook.,expenses,Expense,408.85,-408.85,-408.85,Expense paid via CASH.
2025-01-03,"Mister - $10 wash, $2 tip",expenses,Expense,12.00,-12.00,-420.85,Expense paid via CASH.
2025-01-08,Meijer - HP printer ink bought by vandervilet,expenses,Expense,53.99,-53.99,-474.84,Expense paid via CASH.
2025-01-13,Right to Life - Current president: Amber Roseboom,expenses,Expense,25.00,-25.00,-499.84,Expense paid via CASH.
2025-01-15,Guiding Light - A gift to Guiding Light.,expenses,Expense,70.00,-70.00,-569.84,Expense paid via CASH.
2025-01-16,Mr Burger - This may be a duplicate.  It is from card 4882.,expenses,Expense,29.43,-29.43,-599.27,Expense paid via CASH.
2025-01-16,Jews for Jesus - receipt# 3186857,expenses,Expense,44.00,-44.00,-643.27,Expense paid via CASH.
2025-01-16,Salvation Army - Gift for Salvation Army,expenses,Expense,227.00,-227.00,-870.27,Expense paid via CASH.
2025-01-17,SMOK Y LINKS,expenses,Expense,7.30,-7.30,-877.57,Expense paid via OTHER.
2025-01-17,Chosen People - Gift to Chosen People Ministries,expenses,Expense,49.00,-49.00,-926.57,Expense paid via CASH.
2025-01-18,Walgreens - There was what looked like a cash back.  May need to verify this.,expenses,Expense,68.19,-68.19,-994.76,Expense paid via CASH.
2025-01-20,Hoogerhyde Safe and Lock - Hoogerhyde card# 4697,expenses,Expense,20.14,-20.14,-1014.90,Expense paid via CASH.
2025-01-21,Welcome Gas - unknown gas station with WELOME on top.  used card 4882,expenses,Expense,36.82,-36.82,-1051.72,Expense paid via CASH.
2025-01-23,Consumers Energy - Consumer Energy bill for 3412 Leonard St Nw.  Probably should not be in receipts.,expenses,Expense,222.65,-222.65,-1274.37,Expense paid via CASH.
2025-01-23,ATT Business Services - ATT Business bill 123.00 paid and then 200.14 paid.,expenses,Expense,323.14,-323.14,-1597.51,Expense paid via CASH.
2025-01-25,Ian Gonzalez - Christmas gift for Ian.,expenses,Expense,30.00,-30.00,-1627.51,Expense paid via CASH.
2025-01-26,Meijer - meijer Tolnaftate,expenses,Expense,13.58,-13.58,-1641.09,Expense paid via CASH.
2025-01-27,Mister - Mister Leonard car wash,expenses,Expense,10.00,-10.00,-1651.09,Expense paid via CASH.
2025-01-27,Home Depot - Toilet Plunger,expenses,Expense,16.94,-16.94,-1668.03,Expense paid via CASH.
2025-01-28,"Walgreens - This was all one trip on January 28, 2025",expenses,Expense,10.00,-10.00,-1678.03,Expense paid via CASH.
2025-01-29,Walgreens - Rx from walgreens on leonard.,expenses,Expense,14.59,-14.59,-1692.62,Expense paid via CASH.
2025-01-29,Lake MI Drive BP - rgb gas spot.,expenses,Expense,45.34,-45.34,-1737.96,Expense paid via CASH.
2025-01-30,Mister - Mister Leonard car wash,expenses,Expense,10.00,-10.00,-1747.96,Expense paid via CASH.
2025-01-30,Mr Burger - rgb mr burger on thursdays,expenses,Expense,31.29,-31.29,-1779.25,Expense paid via CASH.
2025-01-30,Mr Burger - rjb mr. burger thursdays.,expenses,Expense,18.02,-18.02,-1797.27,Expense paid via CASH.
2025-01-31,Walgreens - rjb aspercreme co-pay,expenses,Expense,10.00,-10.00,-1807.27,Expense paid via CASH.

Summary,Value
Total Records,26
Total Inflows,0.00
Total Outflows,1807.27
Net Change,-1807.27
